Rank,Score,CameraHits,HitPercentage,RMSSpotSize,BestSecondaryX,BestSecondaryY,PrimaryDiameter,SecondaryDiameter,PrimaryR,SecondaryR,PrimaryF,SecondaryF,PrimaryK,SecondaryK,MirrorSeparation,SystemFocalLength,OriginalRowIndex
1,8234.73,412,82.40,5.27,-759.60,0.00,203.20,35.00,3251.20,-500.00,1625.60,-250.00,-1.00,-2.00,360.00,-3694.55,10
2,8234.73,412,82.40,5.27,-1164.00,0.00,203.20,35.00,4064.00,-500.00,2032.00,-250.00,-1.00,-2.00,360.00,-4618.18,0
3,8114.69,406,81.20,5.30,-1117.56,0.00,203.20,37.78,4064.00,-522.22,2032.00,-261.11,-1.00,-2.28,384.44,-4301.98,1
4,8114.68,406,81.20,5.32,-715.16,0.00,203.20,37.78,3251.20,-522.22,1625.60,-261.11,-1.00,-2.28,384.44,-3441.59,11
5,7994.65,400,80.00,5.35,-668.71,0.00,203.20,40.56,3251.20,-544.44,1625.60,-272.22,-1.00,-2.56,408.89,-3237.98,12
6,7994.55,400,80.00,5.45,-1073.11,0.00,203.20,40.56,4064.00,-544.44,2032.00,-272.22,-1.00,-2.56,408.89,-4047.48,2
7,7912.62,396,79.20,7.37,-642.27,0.00,203.20,43.33,3251.20,-566.67,1625.60,-283.33,-1.00,-2.83,433.33,-3070.58,13
8,7911.33,396,79.20,8.66,-1048.67,0.00,203.20,43.33,4064.00,-566.67,2032.00,-283.33,-1.00,-2.83,433.33,-3838.22,3
9,7789.52,390,78.00,10.48,-617.82,0.00,203.20,46.11,3251.20,-588.89,1625.60,-294.44,-1.00,-3.11,457.78,-2930.50,14
10,7787.77,390,78.00,12.23,-1024.22,0.00,203.20,46.11,4064.00,-588.89,2032.00,-294.44,-1.00,-3.11,457.78,-3663.13,4
11,7666.92,384,76.80,13.08,-593.38,0.00,203.20,48.89,3251.20,-611.11,1625.60,-305.56,-1.00,-3.39,482.22,-2811.57,15
12,6386.61,320,64.00,13.39,-999.78,0.00,203.20,48.89,4064.00,-611.11,2032.00,-305.56,-1.00,-3.39,482.22,-3514.47,5
13,6306.55,316,63.20,13.45,-568.93,0.00,203.20,51.67,3251.20,-633.33,1625.60,-316.67,-1.00,-3.67,506.67,-2709.33,16
14,5466.28,274,54.80,13.72,-544.49,0.00,203.20,54.44,3251.20,-655.56,1625.60,-327.78,-1.00,-3.94,531.11,-2620.50,17
15,5226.32,262,52.40,13.68,-975.33,0.00,203.20,51.67,4064.00,-633.33,2032.00,-316.67,-1.00,-3.67,506.67,-3386.67,6
16,4906.05,246,49.20,13.95,-520.04,0.00,203.20,57.22,3251.20,-677.78,1625.60,-338.89,-1.00,-4.22,555.56,-2542.61,18
17,4506.08,226,45.20,13.92,-950.89,0.00,203.20,54.44,4064.00,-655.56,2032.00,-327.78,-1.00,-3.94,531.11,-3275.63,7
18,4465.92,224,44.80,14.08,-495.60,0.00,203.20,60.00,3251.20,-700.00,1625.60,-350.00,-1.00,-4.50,580.00,-2473.74,19
19,4025.84,202,40.40,14.16,-926.44,0.00,203.20,57.22,4064.00,-677.78,2032.00,-338.89,-1.00,-4.22,555.56,-3178.26,8
20,3625.74,182,36.40,14.26,-902.00,0.00,203.20,60.00,4064.00,-700.00,2032.00,-350.00,-1.00,-4.50,580.00,-3092.17,9
