Rank,Score,CameraHits,HitPercentage,RMSSpotSize,BestSecondaryX,BestSecondaryY,PrimaryDiameter,SecondaryDiameter,PrimaryR,SecondaryR,PrimaryF,SecondaryF,PrimaryK,SecondaryK,MirrorSeparation,SystemFocalLength,OriginalRowIndex
1,1595.80,80,16.00,4.20,448.44,0.00,50.00,11.11,200.00,-87.78,100.00,-43.89,0.00,-1.22,34.44,464.71,1
2,1555.32,78,15.60,4.68,456.89,0.00,50.00,12.22,200.00,-95.56,100.00,-47.78,0.00,-1.44,38.89,537.50,2
3,1515.21,76,15.20,4.79,467.33,0.00,50.00,13.33,200.00,-103.33,100.00,-51.67,0.00,-1.67,43.33,620.00,3
4,1474.94,74,14.80,5.06,475.78,0.00,50.00,14.44,200.00,-111.11,100.00,-55.56,0.00,-1.89,47.78,714.29,4
5,1434.19,72,14.40,5.81,484.22,0.00,50.00,15.56,200.00,-118.89,100.00,-59.44,0.00,-2.11,52.22,823.08,5
6,1393.85,70,14.00,6.15,494.67,0.00,50.00,16.67,200.00,-126.67,100.00,-63.33,0.00,-2.33,56.67,950.00,6
7,1353.49,68,13.60,6.51,501.11,0.00,50.00,17.78,200.00,-134.44,100.00,-67.22,0.00,-2.56,61.11,1100.00,7
8,1273.13,64,12.80,6.87,507.56,0.00,50.00,18.89,200.00,-142.22,100.00,-71.11,0.00,-2.78,65.56,1280.00,8
9,1232.70,62,12.40,7.30,514.00,0.00,50.00,20.00,200.00,-150.00,100.00,-75.00,0.00,-3.00,70.00,1500.00,9
10,834.17,42,8.40,5.83,380.00,0.00,50.00,10.00,200.00,-80.00,100.00,-40.00,0.00,-1.00,30.00,400.00,0
